id,title,score,numericValue,numericUnit,website
first-contentful-paint,First Contentful Paint,0.96,767.0,millisecond,http://departament-turizma.ru
interactive,Time to Interactive,0.94,2185.0,millisecond,http://mcot-sever.ru
largest-contentful-paint,Largest Contentful Paint,0.26,3400.0,millisecond,http://mcot-sever.ru
first-contentful-paint,First Contentful Paint,0.46,1670.5,millisecond,http://mcot-sever.ru
interactive,Time to Interactive,0.68,3610.0,millisecond,http://bc-ilmer.ru
largest-contentful-paint,Largest Contentful Paint,0.02,7442.0,millisecond,http://bc-ilmer.ru
first-contentful-paint,First Contentful Paint,0.44,1697.0,millisecond,http://bc-ilmer.ru
interactive,Time to Interactive,0.99,1591.0,millisecond,http://kuntsevofootball.ru
largest-contentful-paint,Largest Contentful Paint,0.61,2075.0,millisecond,http://kuntsevofootball.ru
first-contentful-paint,First Contentful Paint,0.51,1591.0,millisecond,http://kuntsevofootball.ru
interactive,Time to Interactive,0.76,3232.0,millisecond,http://academy-health-perm.ru
largest-contentful-paint,Largest Contentful Paint,1.0,550.0,millisecond,http://academy-health-perm.ru
first-contentful-paint,First Contentful Paint,0.99,550.0,millisecond,http://academy-health-perm.ru
interactive,Time to Interactive,0.99,1442.0,millisecond,http://fond-marhamat.ru
largest-contentful-paint,Largest Contentful Paint,0.57,2180.0,millisecond,http://fond-marhamat.ru
first-contentful-paint,First Contentful Paint,0.98,698.0,millisecond,http://fond-marhamat.ru
interactive,Time to Interactive,1.0,532.0,millisecond,http://pmovk.ru
largest-contentful-paint,Largest Contentful Paint,0.89,1245.0,millisecond,http://pmovk.ru
first-contentful-paint,First Contentful Paint,1.0,417.0,millisecond,http://pmovk.ru
interactive,Time to Interactive,1.0,822.0,millisecond,http://dosaaf60.ru
largest-contentful-paint,Largest Contentful Paint,0.69,1824.0,millisecond,http://dosaaf60.ru
first-contentful-paint,First Contentful Paint,0.95,790.5,millisecond,http://dosaaf60.ru
interactive,Time to Interactive,1.0,969.5,millisecond,http://urapab.ru
largest-contentful-paint,Largest Contentful Paint,0.99,669.0,millisecond,http://urapab.ru
first-contentful-paint,First Contentful Paint,0.99,625.0,millisecond,http://urapab.ru
interactive,Time to Interactive,0.99,1495.0,millisecond,http://new-perspectives.ru
largest-contentful-paint,Largest Contentful Paint,0.74,1701.5,millisecond,http://new-perspectives.ru
first-contentful-paint,First Contentful Paint,0.86,1008.0,millisecond,http://new-perspectives.ru
interactive,Time to Interactive,0.89,2501.5,millisecond,http://bc-ural.ru
largest-contentful-paint,Largest Contentful Paint,0.99,690.0,millisecond,http://bc-ural.ru
first-contentful-paint,First Contentful Paint,0.98,690.0,millisecond,http://bc-ural.ru
interactive,Time to Interactive,0.97,1848.0,millisecond,http://irk-panteleimon.ru
largest-contentful-paint,Largest Contentful Paint,0.4,2755.0,millisecond,http://irk-panteleimon.ru
first-contentful-paint,First Contentful Paint,0.95,785.0,millisecond,http://irk-panteleimon.ru
interactive,Time to Interactive,1.0,1059.5,millisecond,http://rcb-c.ru
largest-contentful-paint,Largest Contentful Paint,0.95,972.0,millisecond,http://rcb-c.ru
first-contentful-paint,First Contentful Paint,0.98,699.0,millisecond,http://rcb-c.ru
interactive,Time to Interactive,0.92,2357.5,millisecond,http://snko.ru
largest-contentful-paint,Largest Contentful Paint,0.52,2348.0,millisecond,http://snko.ru
first-contentful-paint,First Contentful Paint,0.78,1155.0,millisecond,http://snko.ru
interactive,Time to Interactive,0.97,1850.0,millisecond,http://uralmediator.ru
largest-contentful-paint,Largest Contentful Paint,0.99,660.0,millisecond,http://uralmediator.ru
first-contentful-paint,First Contentful Paint,0.99,620.0,millisecond,http://uralmediator.ru
interactive,Time to Interactive,1.0,436.0,millisecond,http://teensplus.ru
